Microsoft Corp,Redmond,Washington
Nvidia Corp,Santa Clara,California
Apple Inc.,Cupertino,California
Amazon.com Inc,Washington,Virginia
Netflix Inc,Los Gatos,California
Applied Materials Inc,Santa Clara,California
Accenture Plc,Dublin,
Texas Instruments Incorporated,Dallas,Texas
Danaher Corporation,Washington,Washington
General Electric Company,Coventry,
Caterpillar Inc.,Irving,Texas
Pfizer Inc.,New York City,New York
Philip Morris International Inc.,Stamford,Connecticut
Intuitive Surgical Inc.,Sunnyvale,California
"Micron Technology, Inc.",Boise,Idaho
"Uber Technologies, Inc. ",San Francisco,California
Union Pacific Corp.,Omaha,Nebraska
Conocophillips,Houston,Texas
Intel Corp,Santa Clara,California
American Tower Corporation,Boston,Massachusetts
Starbucks Corp,Seattle,Seattle
"Fiserv, Inc.",Milwaukee,Wisconsin
"Chipotle Mexican Grill, Inc.",Newport Beach,California
Synopsys Inc,Sunnyvale,California
The Southern Company,Atlanta,Georgia
Blackstone Inc.,New York City,New York
"Altria Group, Inc.",Richmond,Virginia
Zoetis Inc.,Parsippany,New Jersey
Cadence Design Systems,San Jose,California
Gilead Sciences Inc,Foster City,California
Duke Energy Corporation,Charlotte,North Carolina
Amphenol Corporation,Wallingford,Connecticut
Colgate-Palmolive Company,New York,New York
Intercontinental Exchange Inc.,Atlanta,Georgia
Arista Networks,Santa Clara,California
"Waste Management, Inc.",Houston,Texas
Trane Technologies Plc,Davidson,North Carolina
The Sherwin-Williams Company,Cleveland,Ohio
General Dynamics Corporation,Reston,Virginia
Target Corporation,Minneapolis,Minnesota
Parker-Hannifin Corporation,Mayfield Heights,Ohio
Illinois Tool Works Inc.,Glenview,Illinois
Marathon Petroleum Corporation,Findlay,Ohio
Moody's Corporation,New York City,New York
Northrop Grumman Corp.,West Falls Church,Virginia
Schlumberger Limited,Houston,Texas
"Motorola Solutions, Inc.",Chicago,Illinois
"Ecolab, Inc.",Saint Paul,Minnesota
U.S. Bancorp,Minneapolis,Minnesota
Emerson Electric Co.,Ferguson,Missouri
"Air Products & Chemicals, Inc.",Allentown,Pennsylvania
Phillips 66,Houston,Texas
Cintas Corp,Mason,Ohio
"Roper Technologies, Inc.",Sarasota,Florida
Welltower Inc.,Toledo,Ohio
Aon Plc Class A,London,
Paccar Inc,Bellevue,Washington
Arthur J. Gallagher & Co.,Rolling Meadows,Illinois
Edwards Lifesciences Corp,Irvine,California
"American International Group, Inc.",New York City,New York
Valero Energy Corporation,San Antonio,Texas
General Motors Company,Detroit,Michigan
Carrier Global Corporation,Palm Beach Gardens,Florida
Capital One Financial,Tysons,Virginia
Norfolk Southern Corp.,Atlanta,Georgia
Hilton Worldwide Holdings Inc.,Tysons,Virginia
Microchip Technology Inc,Chandler,Arizona
"Simon Property Group, Inc.",Indianapolis,Indiana
Newmont Corporation,Greenwood Village,Colorado
Ross Stores Inc,Dublin,California
Truist Financial Corporation,Charlotte,North Carolina
"The Travelers Companies, Inc.",New York City,New York
Sempra,San Diego,California
"Digital Realty Trust, Inc.",Austin,Texas
Johnson Controls International Plc,Cork,
Ford Motor Company,Dearborn,Michigan
"American Electric Power Company, Inc.",Columbus,Ohio
Copart Inc,Dallas,Texas
Te Connectivity Ltd,Berwyn,Pennsylvania
Autodesk Inc,San Francisco,California
Bank of New York Mellon Corporation,New York City,New York
"Fidelity National Information Services, Inc.",Jacksonville,Florida 
Realty Income Corporation,San Diego,California
Crown Castle Inc.,Houston,Texas
Public Storage,Glendale,California
Humana Inc.,Louisville,Kentucky
The Allstate Corporation,Northbrook,Illinois
"Ameriprise Financial, Inc.",Minneapolis,Minnesota
"United Rentals, Inc.",Stamford,Connecticut
"Prudential Financial, Inc.",Newark,New Jersey
Idexx Laboratories Inc,Westbrook,Maine
Hess Corporation,New York City,New York
Otis Worldwide Corporation,Farmington,Connecticut
"Constellation Brands, Inc.",Victor,New York
Nucor Corporation,Charlotte,North Carolina
Occidental Petroleum Corporation,Houston,Texas
"Yum! Brands, Inc.",Louisville,Kentucky
"Super Micro Computer, Inc.",San Jose,California
Paychex Inc,Rochester,New York
Dow Inc.,Midland,Michigan
"Quanta Services, Inc.",Williams TowerHouston,Texas
Agilent Technologies Inc.,Santa Clara,California
"W.W. Grainger, Inc.",Lake Forest,Illinois
Monster Beverage Corporation,Corona,California
"Corteva, Inc.",Indianapolis,Indiana
"Kinder Morgan, Inc.",Houston,Texas
"General Mills, Inc.",Golden Valley,Minnesota
Republic Services Inc.,Phoenix,Arizona
Centene Corporation,St. Louis,Missouri
Cummins Inc.,Columbus,Indiana
Lululemon Athletica Inc.,Vancouver,
Arch Capital Group Ltd,Hamilton,
Public Service Enterprise Group Incorporated,Newark,New Jersey
Royal Caribbean Group,Miami,Florida
Exelon Corporation,Chicago,Illinois
"Monolithic Power Systems, Inc.",Kirkland,Washington
Sysco Corporation,Houston,Texas
Keurig Dr Pepper Inc.,Burlington,Massachusetts
Kenvue Inc.,Skillman,New Jersey
Martin Marietta Materials,Raleigh,North Carolina
The Kroger Co.,Cincinnati,Ohio
"Gartner, Inc.",Stamford,Connecticut
Electronic Arts Inc,Redwood City,California
Biogen Inc.,Cambridge,Massachusetts
Cognizant Technology Solutions,Teaneck,New Jersey
Vulcan Materials Company,Birmingham,Birmingham
Fair Isaac Corporation,Bozeman,Montana
Xylem Inc,Washington,Washington
Archer Daniels Midland Company,Chicago,Illinois
"Delta Air Lines, Inc.",Atlanta,Georgia
Baker Hughes Company,Houston,Texas
"Consolidated Edison, Inc.",New York City,New York
Costar Group Inc,Washington D.C,Washington 
"Extra Space Storage, Inc.",Cottonwood Heights,Utah
On Semiconductor Corp,Scottsdale,Arizona
Discover Financial Services,Riverwoods,Illinois
Old Dominion Freight Line,Thomasville,North Carolina
Halliburton Company,Houston,Texas 
"Xcel Energy, Inc.",Minneapolis,Minnesota
Devon Energy Corporation,Oklahoma City,Oklahoma
"The Hartford Financial Services Group, Inc.",Hartford,Connecticut
The Hershey Company,Hershey,Pennsylvania
"Rockwell Automation, Inc.",Milwaukee,Wisconsin
"First Solar, Inc.",Tempe,Arizona
Corning Incorporated,Corning,New York
Edison International,Rosemead,California
Ansys Inc,Canonsburg,Pennsylvania
Ebay Inc,San Jose,California
The Kraft Heinz Company,Chicago,Pennsylvania
Deckers Outdoor Corp,Goleta,California
"Church & Dwight Co., Inc.",Ewing,New Jersey
Targa Resources Corp.,Houston,Texas
T Rowe Price Group Inc,Baltimore,Maryland
Fortive Corporation,Everett,Washington
Hewlett Packard Enterprise Company,Spring,Texas
Garmin Ltd,Olathe,Kansas
International Flavors & Fragrances Inc.,New York City,New York
Dover Corporation,Downers Grove,Illinois
Iron Mountain Inc.,Boston,Massachusetts
Fifth Third Bancorp,Cincinnati,Ohio
"Cardinal Health, Inc.",Dublin (Ohio),Ohio
"Keysight Technologies, Inc.",Santa Rosa,California
"Zimmer Biomet Holdings, Inc.",Warsaw,Indiana
Dollar Tree Inc.,Chesapeake,Virginia
"West Pharmaceutical Services, Inc.",Exton,Pennsylvania
Broadridge Financial Solutions Inc,Lake Success,New York
Entergy Corporation,New Orleans,Louisiana
Aptiv Plc,Dublin,
"Raymond James Financial, Inc.",St. Petersburg (Florida),Florida
"Nasdaq, Inc.",New York City,New York
State Street Corporation,Boston,Massachusetts
Equity Residential,Chicago,Illinois
Ball Corporation,Westminster,Colorado
"Teradyne, Inc.",North Reading,Massachusetts
Weyerhaeuser Company,Seattle,Washington
Coterra Energy Inc.,Houston,Texas
Eversource Energy,Hartford,Connecticut
Genuine Parts Company,Atlanta,Georgia
"Tyler Technologies, Inc.",Plano,Texas
"Ventas, Inc.",Chicago,Illinois
"Leidos Holdings, Inc.",Reston,Virginia
Hubbell Incorporated,Shelton,Connecticut
Steel Dynamics Inc,Fort Wayne,Indiana
Huntington Bancshares Inc,Columbus,Ohio
"The Cooper Companies, Inc.",San Ramon,California
Ameren Corporation,St. Louis,Missouri
Teledyne Technologies Incorporated,Thousand Oaks,California
Align Technology Inc,Tempe,Arizona
Avery Dennison Corp.,Mentor,Ohio
"Expeditors International of Washington, Inc.",Seattle,Washington
"Molina Healthcare, Inc.",Long Beach,California
"Alexandria Real Estate Equities, Inc.",Pasadena,California
Illumina Inc,San Diego,California
"Darden Restaurants, Inc.",Orlando,Florida 
Cincinnati Financial Corp,Fairfield,Ohio
Omnicom Group Inc.,New York City,New York
Domino's Pizza Inc.,Ann Arbor Township,Michigan
Waters Corp,Milford,Massachusetts
Synchrony Financial,Stamford,Connecticut
Hologic Inc,Marlborough,Massachusetts
"United Airlines Holdings, Inc.",Chicago,Illinois
Jacobs Solutions Inc.,Dallas,Texas
"Principal Financial Group, Inc.",Des Moines,Iowa
Regions Financial Corp.,Birmingham (Alabama),Birmingham
Atmos Energy Corporation,Dallas,Texas
Northern Trust Corp,Chicago,Illinois
Baxter International Inc.,Deerfield,Illinois
"Textron, Inc.",Providence,Rhode Island
Carnival Corporation,Miami,Florida
Eqt Corp,Pittsburgh (Pennsylvania),Pennsylvania
Southwest Airlines Co.,Dallas,Texas
Clorox Company,Oakland,California
"Everest Group, Ltd.",Hamilton,
Marathon Oil Corporation,Houston,Texas 
Las Vegas Sands Corp.,Las Vegas,Nevada
"Tyson Foods, Inc.",Springdale,Arkansas
Verisign Inc,Reston,Virginia
"Mid-America Apartment Communities, Inc.",Memphis,Tennessee
"Citizens Financial Group, Inc.",Providence,Rhode Island
Kellanova,Chicago,Illinois
Zebra Technologies Corporation,Lincolnshire,Illinois
International Paper Co.,Memphis,Tennessee
Bunge Global Sa,Missouri,Missouri
Masco Corporation,Livonia,Michigan
Celanese Corporation,Irving,Texas
Skyworks Solutions Inc,Irvine,California
Jabil Inc.,St. Petersburg (Florida),Florida
Gen Digital Inc.,Arizona,Arizona
Snap-on Incorporated,Kenosha,Wisconsin
"Conagra Brands, Inc.",Chicago,Illinois
Albemarle Corporation,Charlotte,North Carolina
Trimble Inc.,Westminster,Colorado
"Healthpeak Properties, Inc.",Denver,Colorado
Loews Corporation,New York City,New York
"Revvity, Inc.",Waltham,Massachusetts
Akamai Technologies Inc,Cambridge,Massachusetts
Pool Corporation,Covington,Louisiana
"Rollins, Inc.",Atlanta,Georgia
Keycorp,Cleveland,Ohio
Jb Hunt Transport Services Inc,Lowell,Arkansas
"Stanley Black & Decker, Inc.",New Britain,Connecticut
Alliant Energy Corporation,Biltmore,Wisconsin
"Host Hotels & Resorts, Inc.",Montgomery County ,Maryland
"Evergy, Inc.",Topeka,
Nordson Corp,Westlake,Ohio
Eastman Chemical Company,Kingsport,Tennessee
The J.M. Smucker Company,Orrville,Ohio
"The Interpublic Group of Companies, Inc.",New York City,New York
Camden Property Trust,Houston,Texas
"Charles River Laboratories International, Inc.",Wilmington,Massachusetts
Juniper Networks Inc,Sunnyvale,California
Mgm Resorts International,Paradise,Nevada
"Bath & Body Works, Inc.",Columbus,Ohio
Allegion Public Limited Company,Dublin,
Teleflex Incorporated,Wayne,Pennsylvania
"C.H. Robinson Worldwide, Inc.",Eden Prairie,Minnesota
Regency Centers Corporation,Jacksonville,Florida
"Huntington Ingalls Industries, Inc.",Newport News,Virginia
A.O. Smith Corporation,Milwaukee,Wisconsin
"Tapestry, Inc.",New York City,New York
"F5, Inc.",Seattle,Washington
The Mosaic Company,Tampa,Florida
"Assurant, Inc.",Atlanta,Georgia
Henry Schein Inc,Melville,New York
Hormel Foods Corporation,Austin,Minnesota
Wynn Resorts Ltd,Paradise,Nevada
Generac Holdings Inc,Waukesha,Wisconsin
Pinnacle West Capital Corporation,Phoenix,Arizona
Campbell Soup Company,Camden,New Jersey
"Boston Properties, Inc.",Boston,Massachusetts
Fox Corporation Class A,New York City,New York
"Etsy, Inc.",Brooklyn,New York
"Caesars Entertainment, Inc.",Reno,Nevada
Federal Realty Investment Trust,Rockville,Maryland
American Airlines Group Inc.,Fort Worth,Texas
"Hasbro, Inc.",Pawtucket,Rhode Island
Ralph Lauren Corporation,New York City,New York
"Paycom Software, Inc.",Oklahoma City,Oklahoma 
Invesco Ltd,Atlanta,Georgia
"Franklin Resources, Inc.",San Mateo,California
Comerica Incorporated,Comerica Bank TowerDallas,Texas
"Mohawk Industries, Inc.",Calhoun,Georgia
Paramount Global Class B,Los Angeles,California
Fox Corporation Class B,New York,New York
